"lat","long","name","Marker"
40.760658,-73.988082,"Frisson Espresso","green"
40.798452,-73.974414,"JUICE PRESS","green"
40.750422,-73.996328,"FRESH  CO","green"
40.745527,-73.978449,"STARBUCKS","green"
40.74964,-73.991889,"CHICKEN/CELEBRITY CHEF DELI CONCESSION","green"
40.74964,-73.991889,"BAR","green"
40.74964,-73.991889,"BAR/BALL PARK","green"
40.74964,-73.991889,"CARNEGIE DELI CATESSEN","green"
40.74964,-73.991889,"CASA NONNA","green"
40.74964,-73.991889,"CHICKEN/FRIES CONCESSION","green"
40.74964,-73.991889,"CHICKEN/FRIES CONCESSION","green"
40.74964,-73.991889,"DUNKIN DONUTS/JEAN GEORGES SIMPLY CHICKEN","green"
40.74964,-73.991889,"EMPLOYEE FEEDING","green"
40.74964,-73.991889,"GARDEN MARKET","green"
40.74964,-73.991889,"Garden Market 35/36","green"
40.74964,-73.991889,"GARDEN MARKET 37/38","green"
40.74964,-73.991889,"GARDEN MARKET DUNKIN DONUTS","green"
40.74964,-73.991889,"Garden Market/Jean Georges Simply Chicken","green"
40.74964,-73.991889,"HAMBURGER/CELEBRITY CHEF","green"
40.74964,-73.991889,"HAMBURGER/CELEBRITY CHEF UNCLE JACKS","green"
40.74964,-73.991889,"HOT DOG CONCESSION","green"
40.74964,-73.991889,"HOT DOG CONCESSION","green"
40.74964,-73.991889,"MADISON CLUB","green"
40.74964,-73.991889,"PRESS ROOM","green"
40.74964,-73.991889,"PUB","green"
40.74964,-73.991889,"SAUSAGE BOSS","green"
40.74964,-73.991889,"SENZAI SUSHI/LOBSTER SHRIMP ROLL BY AQUA GRILL","green"
40.74964,-73.991889,"SUITE 200/1879","green"
40.74964,-73.991889,"THEATER FLY","green"
40.752196,-73.981822,"LITTLE LIONS","green"
40.753481,-73.980888,"FRESH  CO","green"
40.798452,-73.974414,"LENWICH","green"
40.759786,-73.976289,"SUBWAY","green"
40.755332,-73.993172,"GREGORY'S COFFEE","green"
40.819853,-73.952556,"CHINELOS II DELIGROCERY RESTAURANT","green"
40.740916,-73.999769,"MCDONALD'S","green"
40.764584,-73.963013,"COLONY CLUB","green"
40.756543,-74.003253,"STARBUCKS","green"
40.741335,-74.005082,"LENWICH","green"
40.77303,-73.978281,"MAPLE","green"
40.752955,-73.973196,"TERRI","green"
40.756654,-73.978565,"KURUMAZUSHI RESTAURANT","green"
40.738261,-73.991517,"SWEETGREEN","green"
40.776322,-73.960016,"DIG INN SEASONAL MARKET","green"
40.778312,-73.962767,"ROASTING PLANT","green"
40.710927,-74.014262,"YI ZHANG FISHBALL","green"
40.730223,-73.988564,"SIGIRI","green"
40.798664,-73.967778,"MAHARAJA PALACE","green"
40.790365,-73.965632,"TRIBECA TREATS","green"
40.758775,-73.967842,"PIG  WHISTLE","green"
